manuscript,bekker,text
Munich_106a,101a18-21,1אמר: כונת זה הספר הוא הודעת הסידורים והדברים הכללים אשר מהם תחובר מלאכת הנצוח.
Munich_106a,101b5-10,"2ובמה שיהיה יותר שלם, ויותר מעולה. וזה , שזאת המלאכה אמנם תמצא על תכלית שלמותה בשני דברים 3. אחד מהם, ידיעת הדברים והסדורים אשר בהם תחובר, והשני , עשיית אותם הסדורים, וההרגל בהם, עד שישוב העשותם קנין. 4וזה כעניין בשאר המלאכות הפועלות, כמלאכת הרפואה וזולתה. 5וזאת המלאכה היא בכלל המלאכה אשר נוכל בה, כאשר היינו שואלים שנעשה מהקדמות מפורסמות, 6הקש על ביטול כל מונח, יקבל עליו המשיב בשמירתו, ועל שמירת כל מונח כללי, ישתדל השואל לבטלו, כאשר היינו משיבים. וזה כפי מה שאפשר במונח מונח. 7כי הוא אין מדרך השואל שיבטל על כל פנים מה שיקבל עליו המשיב שמירתו ואין מדרך המשיב שישמור מהבטול מה שיקבל שמירתו על כל פנים, אבל דרך כל אחד מהם, 8כאשר הטיבו השאלות והתשובות, שיביאו בתכלית מה שאפשר בזה המונח מן השמירה או הבטול, כענין במלאכת הרפואה. 9כי הוא לא יחויב לרופא שיבריא על כל פנים. ואמנם אשר יחויב לו, שלא יעלם דבר ממה שתחייביהו המלאכה, 10ושיביא בזה החולי בכל מה שאפשר בו. ובעבור שהיה שם הויכוח אצל ההמון, 11אמנם יורה על מליצות בין שנים, יכוין כל אחד מהם לנצח חברו באיזה מין, הזדמן מן המאמרים, העתיק ארסטו זה השם אל זה הענין , אשר הוא יותר קרוב שבדברים, 12דומה בענין אשר יכוונו יכנו אותו ההמון, והוא הענין אשר גדרנוהו. וכבר יקרא זה הספר, ספר המקומות. ועוד תדע אחר זה, מה הם המקומות.
1החלק הראשון 2יודיע בו המאמרים אשר יחוברו מהם ההלצות הנצוחיות וחלקיהם, וחלקי חלקיהם, עד יותר פשוט ממה שיורכב ממנו. 3וזה החלק הוא במאמר הראשון מספר ארסטו. 4והחלק השני. 5יודיע בו המקומות אשר מהם יקנו ההקשים בקיום הדבר ובטולו בכל מיני הדרושים בזאת המלאכה וזה הוא בששה מאמרים מספר אריסטו 6והחלק השלישי , יודיע בו איך ראוי שישאל השואל, ושישיב המשיב, 7ועל כמה צדדים תהיה התשובה והשאלה, 8וזהו במאמר השמיני מספר ארסטו."
Munich_106a,101a25-30,"1ואולם תועלות זאת המלאכה, הנה הם שלשה. 2אחד מהם, ההרגל . והשני, במחלוקת ההמון. 3והשלישי, בידיעות העיוניות. 4ואולם תועלתה בהרגל המכוון המכין לצד הידיעות, כי לפי שכאשר שהיו עמנו סדורים ידועים, ודרכים ידועים נכללים , נלך מהם אל קיום הדבר ובטולו , היה היכולת המתחדש לנו בזאת המלאכה, בהבחנת הדעות והסברות, וידיעות האמת מהם, מן השקר, יותר שלם הפועל, ויותר טוב הכונה , מן הכח המתחדשת לנו בהרגל לבד זולת ידיעת אלו הסדורים. 5ולזה אמנם יגיע השלמות בזאת המלאכה, בשני אלו הדברים, ר""ל ההרגל, וידיעת הסדורים. 6ומבואר שההרגל המכוון בזאת המלאכה, אמנם הוא הכנה אל הפילוסופיא, על צד מה שיהיה ההרגל ברכיבת הסוסים בצחוק, הכנה אל המלחמה."
Munich_106a,101a31-33,"1ואולם תועלתה במחלוקת ההמון, הנה ההכרח המביא בקבוצם על היושר והמעלה , אל האמנת הרבה מהענינים העיוניים המועילים להם בקבוצים המדיניים. 2ובעבור שהיה הענין כן, והיו הענינים העיוניים, אי אפשר שיפול האמות בהם אליהם אלא בדרכים המפורסמים, והם המאמרים המשתמשים בזאת המלאכה, היה היותר חשוב ממה שיקוױמו בהם אצלם הענינים העיוניים, הם המאמרים המפורסמים, כי הם יותר קשי הסתירה מהמאמרים ההלציים והשיריים. 3ואם היה , כבר יעשו הדרכים ההלציים והשיריים בזה המקום תמורת הדרכים הנצוחיים. 4וכבר זה בחכמה המדינית."
Munich_106a,101a34-36,"1ואולם תועלתה בידיעות העיוניות, הנה זה מפנים. 2אחד מהם, שאנחנו כאשר רצינו שנעמוד על האמת בדרוש מה, ויקשה עליו השגתו, אפשר לנו בזאת המלאכה, שנביא בזה הדרוש, שני הקשים סותרים, אחד מהם יקיימהו, והאחד יבטלהו, וכאשר עשינו זה, אפשר לנו בקלות שנבדיל החלק האמתי אשר באותם שני המאמרים הסותרים, מן הכוזב , בשנסדר הקדמות שני ההקשים, בסדורים המופתיים, עד שנבאר הנשואים העצמותיים מהם, מהמקריים. 3וזה שהקדמות ההקשים הנצוחיים ברוב הענין , אינם כוזבות בכל, ולא צודקות בכל. 4והענין בזה דומה במה שיקרה במלאכות המעשיות. כי המצרף, יבדיל עצם הזהב והכסף, ממה שהוא מעורב בהם משאר העצמים, והצורף הוא אשר יקח זה הנבדל הנקי וירקעהו, ויעשה ממנו מה שירצה 5ואילו יעמס עליו הצורף שני הענינים יחד, אפשר לו זה אבל יהיה עליו הדבר יותר כבד. 6וזה אמנם יצטרך אליו ביותר, הדברים אשר יתערב בהם מה שבעצמות, במה שבמקרה. וזה אמנם יקרה בחכמה הטבעית, והחכמה האלוהית, והחכמה המדינית, בחלוף הענין בחכמות הלמודיות. 7ולזה מעט מה שנמצא ארסטו , יביא מופת בדבר מאלו החכמות השלשה , אם לא יקדים קודם המופת על זה, ספק נצוחי. 8ומבואר שזאת התועלת בחכמות, זולת תועלת ההרגל. בשזאת בעצמה ואותה באמצעות הכח המגעת מההרגל
1והאופן השני , הוא בעבור שהיו המלאכות העיוניות יוכללו על שלושה דברים, הקדמות, ודרושים, והקשים , והיה מספר אלו הדברים, תחלה וכללותם מצד מה שהם מפורסמים, יותר קל, הנה כאשר הגיעו מוכנים בפועל, יקל להבדיל מה שהונח מהם על שהוא אמת, אם הוא על הצד אשר הונח, אם לא, וזה בסדורים המופתיים . 2וזה כי הוא עובד גם כן למופת על זה האופן."
Munich_106a,101a37-101b4,"1והאופן השלישי, שאנחנו נקבל תועלת בהקדמות המפורסמות בהתחלות המלאכות, וזה על פנים. 2אחד מהם שאולי אותם ההתחלות, לא יתבארו אלא בחפוש, ויצטרך אל עשיית החפוש, על הצד אשר נאמר בזאת המלאכה. 3והשני הוא, שפעמים יהיו אותם ההתחלות, ממה שיקשה ציורם על המתחיל בלמוד או האמות בהם בהתחלת הענין , ויעשה עמו בנפילת האמות בהם, הדברים המפורסמים, עד שתתחזק סברתו בזה, ויפול לו האמות בה. 4כמו שיעשהו ארסטו בספר, בארו ארמניאס בחלוקתו הענינים מצד המלות, בחלוקתו אותם אל השם והפעל והמלה. 5והשלישי , שהמין מן ההקדמות אשר יודעו בפתיחות, והם אשר דרכם שיתבארו במלאכה אחרת, זולת המלאכה אשר יונחו בה, וסברת המתלמד בהם, חלוף מה שיונח מהם באותה המלאכה, כבר ימשך בהם, בענינים המפורסמים, שיקבל אותם המתלמד, עד שכאשר התחיל במלאכה אשר תביא מופת בהם, ידעם ידיעה אמתית. 6והרביעי, שבהם ידחו הטעאות המטעים, בהתחלות החכמות. 7כמו שעשה ארסטו במאמר הראשון מן השמע, עם אשר כפרו ברבוי ומציאות התנועה. 8והחמישי שהוא בעבור שהיו המופתים שני מינים, מין יאמת בו המוסכל בטבע , ומין יאמת בו המבואר בנפשו אצל מי שיכפור אותו. 9וזה אמנם יתבאר בהקדמות המפורסמות בתכלית, והם אשר קרה להם , עם שהיו מפורסמות, שהם צודקות, היו מועילות בזה הענין . 10וזה הצד מן העיון , הוא גדול העיון הנעשה במה שאחר הטבע, בהאמתת התחלות החכמות החלקיות."
Munich_106a,101b14 ,"1הנה כבר דברנו בכונת זאת המלאכה, ובהוראת שמה, ובחלוקותיה, ובתועלתה.
2ונלך אל המאמר בדבר דבר מחלקיה. 3ונתחיל במאמר מחלק הראשון ממנה, ונעיין תחלה מה הם המאמרים הנצוחיים, וממה זה יתחברו, ואיך יתחברו, וכמה מיניהם."
Munich_106a,100a26,"1ונאמר שהמאמרים הנצוחיים הם בכלל הקשים יחודשו מההקדמות הראשונות בטבע. 2ונתחיל מאלו בבאור היותר פשוט מהם, והם סוף הדרושים, וההקדמות המפורסמות, וחלקיהם ."
Munich_106a,101b16-37,"1ונאמר: שההקדמות והשאלות, אחדות בנושא, שנים בצד. 2וזה, שהמאמר הגוזר, כאשר הונח על צד הקבלה, ויהיה חלק הקש , יקרא הקדמה, וכאשר נחקר ממנו על צד קיום אחד משני הסותרים, או בטולו, יקרא שאלה. 3וכאשר היה זה כן, הנה כל הקדמה וכל שאלה, הנה הנשוא בה לא ימנע שיהיה, אם גדר, ואם סוג ואם הבדל ואם סגלה ואם רושם ואם מקרה. 4וכאשר היה הענין כן, יהיו הדרושים הנצוחיים ששה מינים. 5אלא שארסטו יבאר ההבדל אל הסוג, וישימהו בשער אחד. 6וכן הרושם, יצרפהו אל הסגולה. 7ויגיעו הדרושים הנצוחיים אצלו, ארבעה מינים. 8אם גדרים ואם סגולות ואם סוגים ואם מקרים. 9וכוונתו בזה, שיבאר המקומות אשר יעשו בדרוש דרוש מאלו הארבעה. לפי שהוא כאשר לא יוכללו הדרושים, לא יוכללו המקומות, עם שבו הודעה גם כן ליותר פשוט, מה שיורכבו ממנו המאמרים הנצוחיים. 10וראוי שנרשום אחד אחד מאלו הארבעה, כפי הרושם הראוי בו בזאת המלאכה, והם הרשמים-המפורסמים , והגדרים המפורסמים. 11עוד אחר זה נספר ששאר הדרושים נכללים באלו הארבעה, ונכנסים בשעריהם."
Munich_106a,101b38-102a18,"1ונאמר: שהגדר הוא המאמר המורה על מהות הדבר אשר בו מציאותו, אשר יחדהו. 2והגדר אמנם ימצא מודיע באחד משני מקומות, אם מודיע למה שיורה עליו שם נפרד, כאמרנו , אם האדם חי מדבר. 3ואם מודיע למה שיורה עליו מאמר, וזה ימצא על שלשה מינים אם מודיע למה שיורה עליו מאמר ירוץ מרוצת השם כמו אמרנו , אם קדרות הירח הוא שתחשך, כאשר נפל במחודד צל הארץ. 4ואם מודיע למה שיורה עליו ברושם , כמו אמרנו , אם המקבל לחכמה, הוא החי המדבר. 5ואם מודיע למה שיורה עליו בגדר , וזה אפשר במה שיש לו שני גדרים. 6כמו אמרנו, אם הקול אשר בענן, הוא התמוגגות רוח נעצר בו. 7כי שני אלו גדרי הרעם. 8ופעמים השתמש זה, כאשר היה לדבר גדר ולכל אחד מחלקיו גדר, ויעשה גדר כל אחד מחלקי הגדר, מקום מה שיורו עליו שמותיו. 9ואולם ההודעה אשר בה שם תמורת שם, וזה, כאשר סכלנו , אם הוראת השם הראשון הוא הוראת השם השני. 10כאמרנו, אם הנאה הוא הנבחר, הנה הוא נכנס בסוג בשער הגדר, ר""ל בדרשי הגדרים. 11וכן הרשמים אשר יעשו על שהם פרושים להוראת השם, לא על שהם מודיעים בו ענין נמצא. 12כאמרנו, אם מה שיורה עליו שם הרקות, הוא מקום , אין דבר עומד בו. 13ובכלל הנה המין מן הדרישה אשר יחקר בה אם כך, הוא כך בעינו, או הוא או זולתו, הוא נכנס בזה הדרוש. 14ואמנם היה זה כן, לפי שאשר יקיים, שהדבר גדר לדבר, הנה כבר קיים קודם שהוא הוא בעצמו. 15ואשר יקיים שהוא איננו הוא הוא , ושהוא זולת, הנה כבר בטל הגדר. 16ולזה היו מקומות ההוא הוא, והזולת, נמנים עם מקומות הגדר. 17וממה שיורה אותך על זה, שההמון יראו שהמרת השם בשם יותר ידוע ממנו, הוא הגדר. 18כמו שנמצא המדברים, יגדירו החכמה בשהיא הידיעה."
