subject_doc_id, predicate, object_doc_id, subtype
doc02, comments_on, doc01, commentary
doc03, translates, doc01, direct_translation
doc04, recomposes, doc01, translation_commentary_blend
doc05, comments_on, doc04, commentary_on_recomposition
doc06, recomposes, doc01, independent_related_work
doc07, comments_on, doc06, commentary
doc08, recomposes, doc01, adaptation_expansion_translation
doc09, translates, doc08, translation_of_recomposition
doc10, comments_on, doc01, mediated_by_arabic_tradition
doc11, translates, doc10, translation_of_commentary
doc12, comments_on, doc11, supercommentary
doc13, comments_on, doc01, mediated_by_arabic_tradition
doc14, translates, doc13, translation_of_commentary
