file,author,title,volume,source_xml,chars,words
Unknown__Unknown_[CC]PL10_19_DE.txt,Unknown,Unknown,,[CC]PL10_19_DE.xml,1970,324
Unknown__Unknown_[CC]PL10_4_ADM.txt,Unknown,Unknown,,[CC]PL10_4_ADM.xml,1849,281
Unknown__Unknown_[CC]PL10_5_UNK.txt,Unknown,Unknown,,[CC]PL10_5_UNK.xml,7674,1291
Unknown__Unknown_[CC]PL10_7_UNK.txt,Unknown,Unknown,,[CC]PL10_7_UNK.xml,1611,228
Unknown__Unknown_[Corrected2]PL10_11_AD.txt,Unknown,Unknown,,[Corrected2]PL10_11_AD.xml,8778,1327
Unknown__Unknown_[Corrected2]PL10_12_59.txt,Unknown,Unknown,,[Corrected2]PL10_12_59.xml,17446,2727
Unknown__Unknown_[Corrected2]PL10_13_UN.txt,Unknown,Unknown,,[Corrected2]PL10_13_UN.xml,163374,24851
Unknown__Unknown_[Corrected2]PL10_14_71.txt,Unknown,Unknown,,[Corrected2]PL10_14_71.xml,5152,837
Unknown__Unknown_[Corrected2]PL10_15_AP.txt,Unknown,Unknown,,[Corrected2]PL10_15_AP.xml,14003,2042
Unknown__Unknown_[Corrected2]PL10_16_SA.txt,Unknown,Unknown,,[Corrected2]PL10_16_SA.xml,53270,8852
Unknown__Unknown_[Corrected2]PL10_17_SE.txt,Unknown,Unknown,,[Corrected2]PL10_17_SE.xml,10882,1574
Unknown__Unknown_[Corrected2]PL10_18_LI.txt,Unknown,Unknown,,[Corrected2]PL10_18_LI.xml,8042,1248
Unknown__Unknown_[Corrected2]PL10_1_445.txt,Unknown,Unknown,,[Corrected2]PL10_1_445.xml,4050,604
Unknown__Unknown_[Corrected2]PL10_3_521.txt,Unknown,Unknown,,[Corrected2]PL10_3_521.xml,4392,683
Unknown__Unknown_[Corrected2]PL10_8_.txt,Unknown,Unknown,,[Corrected2]PL10_8_.xml,31700,4829
Unknown__Unknown_[Corrected2]PL10_9_PRA.txt,Unknown,Unknown,,[Corrected2]PL10_9_PRA.xml,6650,1016
Zeno__Patrologiae_Cursus_Completus_Series_Latina_PL_[CC]PL11_1_ORA.txt,Zeno,Patrologiae Cursus Completus. Series Latina (PL),11,[CC]PL11_1_ORA.xml,1279,172
Zeno__Patrologiae_Cursus_Completus_Series_Latina_PL_[Corrected2]PL11_3_TES.txt,Zeno,Patrologiae Cursus Completus. Series Latina (PL),11,[Corrected2]PL11_3_TES.xml,19415,3174
Zeno__Patrologiae_Cursus_Completus_Series_Latina_PL_[Corrected2]PL11_7_326.txt,Zeno,Patrologiae Cursus Completus. Series Latina (PL),11,[Corrected2]PL11_7_326.xml,10575,1362
Zeno__Patrologiae_Cursus_Completus_Series_Latina_PL_[Corrected2]PL11_8_333.txt,Zeno,Patrologiae Cursus Completus. Series Latina (PL),11,[Corrected2]PL11_8_333.xml,12658,1660
Eusebius_Vercellensis__Patrologiae_Cursus_Completus_Series_Latina_PL_[Corrected2]PL12_2_SAN.txt,Eusebius Vercellensis,Patrologiae Cursus Completus. Series Latina (PL),12,[Corrected2]PL12_2_SAN.xml,11284,1501
Unknown__Unknown_[CC]PL13_20_SE.txt,Unknown,Unknown,,[CC]PL13_20_SE.xml,19470,2978
Unknown__Unknown_[CC]PL13_29_FL.txt,Unknown,Unknown,,[CC]PL13_29_FL.xml,394,59
Unknown__Unknown_[CC]PL13_2_FAU.txt,Unknown,Unknown,,[CC]PL13_2_FAU.xml,1672,253
Unknown__Unknown_[CC]PL13_30_LU.txt,Unknown,Unknown,,[CC]PL13_30_LU.xml,649,91
Unknown__Unknown_[CC]PL13_39_EP.txt,Unknown,Unknown,,[CC]PL13_39_EP.xml,217,31
Unknown__Unknown_[CC]PL13_40_EP.txt,Unknown,Unknown,,[CC]PL13_40_EP.xml,456,68
Unknown__Unknown_[CC]PL13_48_AD.txt,Unknown,Unknown,,[CC]PL13_48_AD.xml,17530,2557
Unknown__Unknown_[CC]PL13_50_DU.txt,Unknown,Unknown,,[CC]PL13_50_DU.xml,951,131
Unknown__Unknown_[Corrected2]PL13_0_EPI.txt,Unknown,Unknown,,[Corrected2]PL13_0_EPI.xml,47971,7139
Unknown__Unknown_[Corrected2]PL13_11_OP.txt,Unknown,Unknown,,[Corrected2]PL13_11_OP.xml,48483,7191
Unknown__Unknown_[Corrected2]PL13_13_AN.txt,Unknown,Unknown,,[Corrected2]PL13_13_AN.xml,75995,11096
Unknown__Unknown_[Corrected2]PL13_14_TH.txt,Unknown,Unknown,,[Corrected2]PL13_14_TH.xml,60234,8579
Unknown__Unknown_[Corrected2]PL13_15_UN.txt,Unknown,Unknown,,[Corrected2]PL13_15_UN.xml,3200,460
Unknown__Unknown_[Corrected2]PL13_16_AN.txt,Unknown,Unknown,,[Corrected2]PL13_16_AN.xml,3454,526
Unknown__Unknown_[Corrected2]PL13_17_SA.txt,Unknown,Unknown,,[Corrected2]PL13_17_SA.xml,22653,3204
Unknown__Unknown_[Corrected2]PL13_18_MO.txt,Unknown,Unknown,,[Corrected2]PL13_18_MO.xml,74806,10835
Unknown__Unknown_[Corrected2]PL13_1_FAU.txt,Unknown,Unknown,,[Corrected2]PL13_1_FAU.xml,119616,19716
Unknown__Unknown_[Corrected2]PL13_21_CO.txt,Unknown,Unknown,,[Corrected2]PL13_21_CO.xml,6887,1066
Unknown__Unknown_[Corrected2]PL13_22_SE.txt,Unknown,Unknown,,[Corrected2]PL13_22_SE.xml,29906,4468
Unknown__Unknown_[Corrected2]PL13_23_EX.txt,Unknown,Unknown,,[Corrected2]PL13_23_EX.xml,3323,497
Unknown__Unknown_[Corrected2]PL13_24_BR.txt,Unknown,Unknown,,[Corrected2]PL13_24_BR.xml,54877,9496
Unknown__Unknown_[Corrected2]PL13_25_KA.txt,Unknown,Unknown,,[Corrected2]PL13_25_KA.xml,9714,1416
Unknown__Unknown_[Corrected2]PL13_26_UN.txt,Unknown,Unknown,,[Corrected2]PL13_26_UN.xml,9253,2044
Unknown__Unknown_[Corrected2]PL13_27_UN.txt,Unknown,Unknown,,[Corrected2]PL13_27_UN.xml,11097,1886
Unknown__Unknown_[Corrected2]PL13_28_NA.txt,Unknown,Unknown,,[Corrected2]PL13_28_NA.xml,13540,2207
Unknown__Unknown_[Corrected2]PL13_31_AP.txt,Unknown,Unknown,,[Corrected2]PL13_31_AP.xml,25224,3780
Unknown__Unknown_[Corrected2]PL13_32_UN.txt,Unknown,Unknown,,[Corrected2]PL13_32_UN.xml,3223,482
Unknown__Unknown_[Corrected2]PL13_33_SA.txt,Unknown,Unknown,,[Corrected2]PL13_33_SA.xml,80095,12629
Unknown__Unknown_[Corrected2]PL13_34_SA.txt,Unknown,Unknown,,[Corrected2]PL13_34_SA.xml,23249,3501
Unknown__Unknown_[Corrected2]PL13_35_SA.txt,Unknown,Unknown,,[Corrected2]PL13_35_SA.xml,12803,2092
Unknown__Unknown_[Corrected2]PL13_36_Q.txt,Unknown,Unknown,,[Corrected2]PL13_36_Q.xml,24022,3787
Unknown__Unknown_[Corrected2]PL13_37_UN.txt,Unknown,Unknown,,[Corrected2]PL13_37_UN.xml,21786,3468
Unknown__Unknown_[Corrected2]PL13_38_S..txt,Unknown,Unknown,,[Corrected2]PL13_38_S..xml,21731,3228
Unknown__Unknown_[Corrected2]PL13_3_UNK.txt,Unknown,Unknown,,[Corrected2]PL13_3_UNK.xml,77695,11203
Unknown__Unknown_[Corrected2]PL13_41_EP.txt,Unknown,Unknown,,[Corrected2]PL13_41_EP.xml,23131,3375
Unknown__Unknown_[Corrected2]PL13_42_EP.txt,Unknown,Unknown,,[Corrected2]PL13_42_EP.xml,10269,1567
Unknown__Unknown_[Corrected2]PL13_43_UN.txt,Unknown,Unknown,,[Corrected2]PL13_43_UN.xml,8252,1201
Unknown__Unknown_[Corrected2]PL13_44_EP.txt,Unknown,Unknown,,[Corrected2]PL13_44_EP.xml,4461,624
Unknown__Unknown_[Corrected2]PL13_46_EP.txt,Unknown,Unknown,,[Corrected2]PL13_46_EP.xml,13747,2077
